train_DIV_LOSS_epoch,train_loss_epoch,train_acc_epoch,epoch,step,lr,train_DIV_LOSS_step,train_loss_step,train_acc_step,val_DIV_LOSS,val_loss,val_acc,val_ece,test_DIV_LOSS,test_loss,test_acc,test_ece
,,,8,249,,,,,11.450292587280273,2.2554144859313965,0.7200000286102295,0.5399823784828186,11.463726043701172,3.0138156414031982,0.4383985698223114,0.3321598768234253
10.671250343322754,2.1726574897766113,0.6834677457809448,8,278,,,,,,,,,,,,
,,,9,299,0.14949999749660492,10.754114151000977,1.6559685468673706,0.71875,,,,,,,,
,,,9,299,,,,,11.295762062072754,1.4285274744033813,0.7900000214576721,0.4381219744682312,11.38938045501709,2.3186521530151367,0.5291533470153809,0.32044869661331177
10.523036003112793,1.6560206413269043,0.7530242204666138,9,309,,,,,,,,,,,,
10.326013565063477,1.2337307929992676,0.8286290168762207,10,340,,,,,,,,,,,,
,,,11,349,0.1745000034570694,10.841830253601074,1.290334939956665,0.78125,,,,,,,,
,,,11,349,,,,,11.208817481994629,0.8287549614906311,0.8849999904632568,0.35436850786209106,11.165166854858398,1.8190687894821167,0.5975439548492432,0.286540150642395
10.266562461853027,0.9017062187194824,0.8800403475761414,11,371,,,,,,,,,,,,
,,,12,399,0.19949999451637268,9.873279571533203,0.4949730634689331,0.96875,,,,,,,,
,,,12,399,,,,,10.855947494506836,0.484571635723114,0.9350000023841858,0.24495095014572144,10.78244686126709,1.4901500940322876,0.6442691683769226,0.24951934814453125
10.009358406066895,0.6517910957336426,0.9264112710952759,12,402,,,,,,,,,,,,
9.771994590759277,0.4705215394496918,0.9475806355476379,13,433,,,,,,,,,,,,
,,,14,449,0.22450000047683716,10.31368637084961,0.24461305141448975,1.0,,,,,,,,
,,,14,449,,,,,10.415533065795898,0.2722092270851135,0.9700000286102295,0.184829980134964,10.483121871948242,1.3428444862365723,0.6633386611938477,0.2315235584974289
9.519283294677734,0.32652586698532104,0.9747983813285828,14,464,,,,,,,,,,,,
9.612324714660645,0.23297616839408875,0.9868951439857483,15,495,,,,,,,,,,,,
,,,16,499,0.24950000643730164,9.919206619262695,0.17238286137580872,1.0,,,,,,,,
,,,16,499,,,,,9.725027084350586,0.159466952085495,0.9900000095367432,0.12555047869682312,10.19550895690918,1.2698841094970703,0.6688298583030701,0.20875519514083862
9.358341217041016,0.16545943915843964,0.9959677457809448,16,526,,,,,,,,,,,,
,,,17,549,0.2499140202999115,9.686254501342773,0.09534867107868195,1.0,,,,,,,,
,,,17,549,,,,,9.56606674194336,0.08663957566022873,1.0,0.07855795323848724,10.340452194213867,1.1950263977050781,0.6833066940307617,0.20395909249782562
9.281542778015137,0.11957505345344543,0.9979838728904724,17,557,,,,,,,,,,,,
9.219274520874023,0.08932416141033173,0.9989919066429138,18,588,,,,,,,,,,,,
,,,19,599,0.24964912235736847,9.277494430541992,0.048621367663145065,1.0,,,,,,,,
,,,19,599,,,,,9.347042083740234,0.05582089722156525,1.0,0.05251777544617653,10.412822723388672,1.1823370456695557,0.6830071806907654,0.19373199343681335
9.14770793914795,0.07106570154428482,1.0,19,619,,,,,,,,,,,,
,,,20,649,0.24920567870140076,7.347681999206543,0.049927033483982086,1.0,,,,,,,,
,,,20,649,,,,,9.079148292541504,0.039802905172109604,1.0,0.03835809603333473,nan,1.1616617441177368,0.6867012977600098,0.19369783997535706
8.896190643310547,0.058888718485832214,1.0,20,650,,,,,,,,,,,,
8.861790657043457,0.0492541640996933,1.0,21,681,,,,,,,,,,,,
,,,22,699,0.2485843151807785,9.09240436553955,0.0389912873506546,1.0,,,,,,,,
,,,22,699,,,,,9.008790969848633,0.029551023617386818,1.0,0.028836088255047798,10.44373607635498,1.1721969842910767,0.6835063695907593,0.18798476457595825
8.840556144714355,0.0412534698843956,1.0,22,712,,,,,,,,,,,,
8.724625587463379,0.03624771162867546,1.0,23,743,,,,,,,,,,,,
,,,24,749,0.24778591096401215,9.446552276611328,0.034120045602321625,1.0,,,,,,,,
,,,24,749,,,,,8.766319274902344,0.02350984513759613,1.0,0.023085661232471466,nan,1.1627248525619507,0.6856030225753784,0.18861792981624603
8.682682991027832,0.03212658688426018,1.0,24,774,,,,,,,,,,,,
,,,25,799,0.2468116134405136,8.962299346923828,0.028277577832341194,1.0,,,,,,,,
,,,25,799,,,,,8.725717544555664,0.01959087885916233,1.0,0.019293349236249924,nan,1.1719491481781006,0.6846046447753906,0.18780270218849182
8.595436096191406,0.028587447479367256,1.0,25,805,,,,,,,,,,,,
8.510295867919922,0.026290882378816605,1.0,26,836,,,,,,,,,,,,
